name,age,positon,height,weight,appearance,minPlayed,goal,assistsTotal,yellowCard,redCard,shotsPerGame,passSuccess,aerialWonPerGame,manOfTheMatch,rating
"1
Álex Grimaldo
28, D(L),M(L)",28,", D(L),M(L)",171,63,31(2),2787,10,13,1,-,2.2,87.2,0.4,7,7.58
"2
Florian Wirtz
21, AM(CL),FW",21,", AM(CL),FW",176,70,26(6),2384,11,11,3,-,2.2,84.6,0.3,5,7.50
"3
Victor Boniface
23, FW",23,", FW",189,91,18(5),1554,14,8,2,-,3.5,73,1.2,3,7.49
"4
Matej Kovár
24, GK",24,", GK",196,88,1,90,-,-,-,-,-,100,-,-,7.33
"5
Exequiel Palacios
25, M(C)",25,", M(C)",176,69,21(3),1841,4,5,6,-,0.9,92.1,0.4,-,7.32
"6
Granit Xhaka
31, D(L),M(C)",31,", D(L),M(C)",186,80,32(1),2828,3,-,5,-,1.4,92.1,0.8,-,7.13
"7
Jonas Hofmann
31, D(R),M(CLR),FW",31,", D(R),M(CLR),FW",176,73,26(6),2215,5,7,3,-,1.9,84.5,0.1,2,7.11
"8
Jeremie Frimpong
23, D(R),M(R)",23,", D(R),M(R)",171,63,27(4),2265,9,7,6,-,1.8,81.3,0.4,2,7.08
"9
Jonathan Tah
28, D(C)",28,", D(C)",195,98,30(1),2633,4,1,6,-,0.8,94.7,2,-,6.96
"10
Josip Stanisic
24, D(CR),M(R)",24,", D(CR),M(R)",187,77,13(7),1257,3,1,3,-,0.5,90.7,0.6,3,6.94
"11
Arthur
21, Defender",21,", Defender",173,70,2(2),184,-,2,-,-,0.5,81.1,0.5,-,6.92
"12
Odilon Kossounou
23, D(CR)",23,", D(CR)",191,79,21(1),1813,1,-,3,-,0.2,89.1,1,-,6.92
"13
Robert Andrich
29, D(C),M(C)",29,", D(C),M(C)",187,83,18(10),1683,4,2,4,-,0.8,90.8,0.8,4,6.88
"14
Lukás Hrádecky
34, GK",34,", GK",192,83,33,2970,-,-,2,-,-,75.8,0.2,-,6.78
"15
Amine Adli
24, AM(CLR),FW",24,", AM(CLR),FW",174,72,8(15),892,4,4,5,-,1.2,82.9,0.9,1,6.78
"16
Edmond Tapsoba
25, D(C)",25,", D(C)",194,85,23(5),2085,-,1,4,-,0.4,91.4,1.4,-,6.78
"17
Patrik Schick
28, AM(R),FW",28,", AM(R),FW",191,87,12(8),1065,7,-,1,-,2,79.8,1.2,1,6.76
"18
Piero Hincapié
22, D(CL),M(L)",22,", D(CL),M(L)",184,77,16(10),1484,1,2,2,-,0.7,91.8,1.4,-,6.74
"19
Nathan Tella
24, M(CLR),FW",24,", M(CLR),FW",173,70,8(16),811,5,2,2,-,0.9,83.2,0.2,1,6.62
"20
Borja Iglesias
31, FW",31,", FW",187,86,2(5),252,-,-,-,-,1.1,79.5,0.6,-,6.35
"21
Adam Hlozek
21, AM(CL),FW",21,", AM(CL),FW",188,84,5(18),451,2,3,1,-,0.8,80.8,0.3,1,6.32
"22
Noah Mbamba
19, Midfielder",19,", Midfielder",187,75,0(3),14,-,1,-,-,0.3,94.7,-,-,6.27
"23
Gustavo Puerta
20, Midfielder",20,", Midfielder",172,73,0(7),40,-,-,-,-,0.3,95.1,0.1,-,6.20
"24
Nadiem Amiri
27, M(CLR)",27,", M(CLR)",180,77,1(7),83,-,-,-,-,0.4,92.9,-,-,6.16
